"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"149","z0196736","z0196736.GTseq.prod","z0196736b.GTseq.prod",41,1,0.024390243902439
"150","z0196736","z0196736.GTseq.prod","z0196736.RunMS51",248,1,0.00403225806451613
"151","z0196736","z0196736.GTseq.prod","z0196736b.RunMS51",249,1,0.00401606425702811
"152","z0196736","z0196736b.GTseq.prod","z0196736.RunMS51",41,1,0.024390243902439
"153","z0196736","z0196736b.GTseq.prod","z0196736b.RunMS51",41,1,0.024390243902439
"154","z0196736","z0196736.RunMS51","z0196736b.RunMS51",321,0,0
"155","z0045719","z0045719.GTseq.prod","z0045719b.GTseq.prod",1,0,0
"156","z0045719","z0045719.GTseq.prod","z0045719.RunMS54",226,2,0.00884955752212389
"157","z0045719","z0045719b.GTseq.prod","z0045719.RunMS54",1,0,0
"158","z0056095","z0056095b.GTseq.prod","z0056095.GTseq.prod",1,0,0
"159","z0056095","z0056095b.GTseq.prod","z0056095.RunMS54",272,1,0.00367647058823529
"160","z0056095","z0056095.GTseq.prod","z0056095.RunMS54",1,0,0
"161","z0043704","z0043704.GTseq.prod","z0043704b.GTseq.prod",0,0,NA
"162","z0043704","z0043704.GTseq.prod","z0043704.RunMS54",0,0,NA
"163","z0043704","z0043704.GTseq.prod","z0043704.RunMS58",20,10,0.5
"164","z0043704","z0043704b.GTseq.prod","z0043704.RunMS54",0,0,NA
"165","z0043704","z0043704b.GTseq.prod","z0043704.RunMS58",0,0,NA
"166","z0043704","z0043704.RunMS54","z0043704.RunMS58",0,0,NA
"167","z0043980","z0043980b.GTseq.prod","z0043980.GTseq.prod",0,0,NA
"168","z0043980","z0043980b.GTseq.prod","z0043980.RunMS43",4,0,0
"169","z0043980","z0043980b.GTseq.prod","z0043980.RunMS45.90s",5,0,0
"170","z0043980","z0043980b.GTseq.prod","z0043980.RunMS54",4,0,0
"171","z0043980","z0043980.GTseq.prod","z0043980.RunMS43",0,0,NA
"172","z0043980","z0043980.GTseq.prod","z0043980.RunMS45.90s",0,0,NA
"173","z0043980","z0043980.GTseq.prod","z0043980.RunMS54",0,0,NA
"174","z0043980","z0043980.RunMS43","z0043980.RunMS45.90s",193,4,0.0207253886010363
"175","z0043980","z0043980.RunMS43","z0043980.RunMS54",208,5,0.0240384615384615
"176","z0043980","z0043980.RunMS45.90s","z0043980.RunMS54",240,0,0
"177","z0195648","z0195648.GTseq.prod","z0195648b.GTseq.prod",0,0,NA
"178","z0195648","z0195648.GTseq.prod","z0195648.RunMS51",4,0,0
"179","z0195648","z0195648.GTseq.prod","z0195648.RunMS54",53,0,0
"180","z0195648","z0195648.GTseq.prod","z0195648.RunMS58",77,1,0.012987012987013
